collocs	anggon
nyanan	2
nyautin	2
nyepi	2
nyewaang	2
nyidaang	2
pabaat	2
panes	2
pangancan	2
pangupa	2
panyemeng	2
paplajahan	2
pas	2
pasti	2
patut	2
perabotan	2
pesan	2
pinget	2
pipisé	2
polih	2
pulsa	2
punika	2
rakyat	2
rangda	2
rénovasi	2
rindu	2
saang	2
sajan	2
sakadi	2
sakit	2
sanjata	2
seneb	2
sisané	2
study	2
tai	2
tali	2
tanahé	2
tatimbang	2
teken	2
togél	2
topi	2
totonan	2
tua	2
uang	2
unduk	2
upajiwa	2
upakara	2
utang	2
waktu	2
wayang	2
yadiastun	2
yen	2
aba	1
abadi	1
abelian	1
abulan	1
abungkul	1
abungkus	1
acepok	1
adan	1
adepa	1
adi	1
adian	1
aéngan	1
agem	1
ageman	1
ageng	1
ajaka	1
ajiné	1
akah	1
akatih	1
aketo	1
aksara	1
alusné	1
amah	1
anduk	1
anè	1
anne	1
anteg	1
antos-antosang	1
apanan	1
apanga	1
apbd	1
apotik	1
are	1
arés	1
arisan	1
arit	1
arjané	1
asli	1
atebih	1
atin	1
aturina	1
atusan	1
baanga	1
bahaya	1
bakalan	1
bakar	1
bakau	1
bakti	1
bali	1
baliné	1
ban	1
banding	1
baneh	1
bani	1
banjarané	1
banjare	1
bapak	1
bapak-bapak	1
bapaké	1
bapanné	1
barangé	1
batike	1
batinne	1
batis	1
batise	1
bedik	1
bedikan	1
belus	1
bendéra	1
bendu	1
beneh	1
bensin	1
beraya	1
bersaing	1
bes	1
betara	1
bhasma	1
bintang	1
bioskop	1
blabar	1
blackberry	1
boch	1
bonsai	1
braya	1
buah	1
buat	1
bubuh	1
bui	1
buku	1
bukunne	1
bulune	1
bungan	1
bunguté	1
cacandén	1
cager	1
cai	1
calon	1
camplung	1
cangkir	1
cara	1
carikné	1
caru	1
cawan	1
cecimpedan	1
ceningé	1
ceti	1
cétinné	1
céwék-céwék	1
ci-ne	1
cicilan	1
cihna	1
cocok	1
cor	1
cucun-cucun	1
cucune	1
cukuan	1
dadiné	1
dadua	1
dalem	1
danda	1
dané	1
dé	1
demenin	1
denda	1
désa	1
désané	1
déwa	1
dewasa	1
dewek	1
déwék	1
déwéké	1
dharma	1
dinané	1
dingding	1
dodos	1
dogen	1
doseré	1
dpr	1
dresta	1
dreti	1
dua	1
duduk	1
dueg	1
