collocs	anggen
pangwales	1
pangweruh	1
panili	1
pantes	1
pantun	1
panyaman	1
panyambléh	1
panyambung	1
panyuluhan	1
papineh	1
parajana	1
paras-paros	1
parilaksana-parilaksana	1
parilaksanan	1
parisudané	1
pas	1
pasametonan	1
pascal	1
pasemetonan	1
paserahinan	1
pasilur	1
pasuwitra	1
paswécan	1
pateh	1
patinget	1
patuté	1
paundukané	1
pawanding	1
pawangunanné	1
pelicin	1
peluang	1
pemerintah	1
penawar	1
pendidik	1
pendidikannyané	1
peneliti-peneliti	1
penemuanné	1
pengalamannyané	1
pengembangan	1
pengendalian	1
pengikut	1
penting	1
penyimpenan	1
pepalaran	1
peplajahan	1
pepolosan	1
pepolosané	1
perahu	1
peranda	1
perang	1
peraturan	1
perbaikan	1
perda	1
perih	1
pering	1
persiapan	1
péstisida	1
petakén	1
petani	1
pewarna	1
photoshop	1
pidabdab	1
pikobet	1
pikobeté	1
pikolih	1
pinakit	1
pinang	1
pinaruh	1
pinyungkané	1
pipisé	1
pisaraté	1
pitakén	1
pitra	1
plastik	1
plus	1
polané	1
poskeswan	1
praba	1
prabia	1
prabotang	1
prajuru	1
prakanti	1
pralinggan	1
praniné	1
praragan	1
praraina	1
pratiam	1
pratima	1
pratisentana	1
prekanti	1
presia	1
presida	1
produk	1
produksi	1
prostitusiné	1
pulsa	1
punapa-punapi	1
punapi	1
pungkuran	1
puniku	1
punyah	1
punyan	1
pupuk	1
putra	1
rahina-rahina	1
ramah	1
ramé	1
rangkungan	1
ranjingang	1
raos	1
ratu	1
raya	1
révolusiné	1
rika	1
rinduné	1
risajeroning	1
rukmini	1
rupa	1
rupa-rupa	1
sabeh	1
sabuk	1
sadéréng	1
sadu	1
saenuné	1
saha	1
sahananing	1
sai	1
saihang	1
sajan	1
sajroning	1
sakarifikasi	1
sakatah	1
sakémaon	1
sakti	1
saliksik	1
saluir-luir	1
samaliha	1
sametone	1
sametoné	1
sampin	1
sampun-sampun	1
sandikalané	1
sandina	1
sangkep-sangkep	1
sapatutné	1
sapi	1
sapunika	1
sarah	1
saraina-raina	1
sarama	1
saraswati	1
sarirané	1
sarjana	1
sasolahanné	1
satia	1
satiosan	1
satmaka	1
satua	1
saur	1
sawah	1
sayaga	1
sayan-sayan	1
sayuwakti	1
se-bali	1
seger	1
sejarah	1
sekaa	1
sekala	1
sekatah	1
sekolahnyanè	1
selah	1
seleg	1
selulase	1
selulosa	1
seminar	1
senyawa	1
sepat	1
serana	1
sertifikasi	1
sertifikaté	1
sesajén	1
sesikut	1
sesuratan	1
simpati	1
simpen	1
sinah	1
sinarengan	1
singid	1
sisan	1
sisia	1
siteng	1
situs-situsé	1
siung	1
smara	1
soal-soal	1
soca	1
sosial	1
sport	1
srira	1
stratégi	1
subhakarma	1
subsidi	1
subtansinyané	1
sujatiné	1
suksman	1
suksmannyané	1
suluh	1
sumber-sumber	1
sumpah	1
surya	1
sutasoma	1
swadharma	1
swagina	1
swécan	1
